epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,3809.85,0.49732,0.31279,0.99055,0.94387,0.95396,0.97818,0.82163,0.66836,0.38303,1.05045,5.616e-05,5.616e-05,5.616e-05
42,3900.39,0.47618,0.28186,0.97883,0.95401,0.95538,0.97962,0.82994,0.65785,0.36739,1.03677,5.0814e-05,5.0814e-05,5.0814e-05
43,3988.7,0.47305,0.27962,0.97855,0.96262,0.95367,0.98068,0.83524,0.65272,0.36053,1.03174,4.5468e-05,4.5468e-05,4.5468e-05
44,4076.54,0.45566,0.27092,0.96537,0.9608,0.94999,0.98126,0.83085,0.66117,0.36186,1.03366,4.0122e-05,4.0122e-05,4.0122e-05
45,4166.84,0.44676,0.26339,0.95872,0.97131,0.94726,0.97925,0.83063,0.65069,0.35563,1.0304,3.4776e-05,3.4776e-05,3.4776e-05
46,4253.19,0.44366,0.25913,0.96122,0.96969,0.95313,0.97802,0.83384,0.64901,0.35027,1.02496,2.943e-05,2.943e-05,2.943e-05
47,4339.31,0.43098,0.25406,0.95282,0.96034,0.96348,0.98148,0.8392,0.63885,0.34373,1.02142,2.4084e-05,2.4084e-05,2.4084e-05
48,4430.44,0.42389,0.24568,0.94792,0.96543,0.95202,0.9822,0.83989,0.64343,0.3445,1.02566,1.8738e-05,1.8738e-05,1.8738e-05
49,4517.84,0.42012,0.24335,0.9459,0.95804,0.96142,0.98286,0.84134,0.64109,0.34329,1.02298,1.3392e-05,1.3392e-05,1.3392e-05
50,4603.78,0.41671,0.24178,0.94401,0.96471,0.9547,0.98227,0.84116,0.63748,0.34198,1.02135,8.046e-06,8.046e-06,8.046e-06
